tid;conc
24;105,3
24,8;95,9
25,1;57,5
28,2;43,2
31,7;25,1
41,1;10,4
46,6;6,2
51,1;4,1
60,6;2,7
80,1;1,6
100,6;1,3
150,1;0,5
