tid;conc
0.87;5.36
2.62;4.97
4.36;4.7
8.29;4.35
13.53;3.83
15.71;3.68
18.76;3.5
22.25;3.33
26.18;3.18
29.67;2.96
34.04;2.77
40.15;2.59
45.38;2.41
50.18;2.3
60.22;2.1
69.82;1.93
79.42;1.76
89.89;1.54
99.93;1.43
115.2;1.25
130.04;1.09
150.11;0.93
179.78;0.75
209.45;0.73
240;0.76
