tid;conc
0.87;5.25
0.87;5
1.75;4.11
3.05;3.92
5.24;3.61
6.98;3.33
10.04;2.96
12.22;2.71
16.15;2.24
19.2;1.96
21.82;1.7
25.75;1.37
29.67;1.07
34.91;0.76
39.27;0.61
49.75;0.51
60.22;0.56
69.82;0.69
80.73;0.72
89.89;0.78
100.36;0.81
115.2;0.87
130.04;0.86
150.11;0.81
179.78;0.72
209.45;0.73
240;0.76
