min;mU/l
0;2.666666667
9.928057554;17.33333333
19.42446043;21.77777778
29.35251799;22.22222222
37.55395683;20.44444444
44.89208633;18.66666667
52.6618705;17.77777778
60;16.44444444
79.85611511;103.1111111
83.74100719;78.66666667
88.05755396;33.33333333
93.23741007;9.777777778
101.0071942;4
122.5899281;1.333333333
135.1079137;1.333333333
159.2805755;0.888888889
173.9568345;0.888888889
