tid;mu/l;conc
0.1;3.2;69.04170119
1.7;22.9;494.0796741
4.5;21.3;459.5588235
6.2;22.9;494.0796741
8.1;22.9;494.0796741
10.2;21.3;459.5588235
12.1;20.1;433.6681856
14.1;19.7;425.0379729
16.1;17.7;381.8869097
19;17.3;373.256697
