tid;conc
0.8;8.5
8.3;19.4
18.5;22.1
30.3;24.8
37.9;24
45.4;23.3
53;24
60.6;22.5
71.9;22.9
79.5;127.5
80.6;94.2
82.1;60.5
84;46.9
87.4;38.8
92.7;27.1
96.9;20.2
100.7;14.7
108.3;8.9
115.1;7
122.6;5.4
129.5;4.3
137;3.5
159;1.9
