tid;conc
0.38;7.36
4.16;37.98
7.95;41.08
11.36;43.79
15.14;44.96
20.06;45.73
26.12;49.61
37.1;48.06
46.18;45.34
52.24;42.63
59.43;42.24
70.79;39.92
80.25;127.12
83.66;103.87
86.69;60.07
89.72;52.32
94.64;46.51
100.69;48.83
107.89;50
115.46;49.61
123.03;48.06
129.84;43.41
137.03;35.66
147.63;31.39
158.99;28.29
174.51;25.19
196.09;12.4
218.04;5.04
240;6.2
