tid;conc
0.87;5.26
3.05;4.89
5.24;4.58
7.85;4.28
11.35;3.96
13.96;3.72
15.71;3.5
18.76;3.24
21.82;2.93
26.18;2.6
27.93;2.34
29.67;2.12
32.29;1.96
34.91;1.71
40.15;1.39
44.95;1.03
50.62;0.84
60.22;0.7
69.82;0.75
79.85;0.79
89.89;0.83
99.93;0.87
114.76;0.9
130.04;0.9
150.11;0.83
179.78;0.72
209.45;0.73
240;0.76
